task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_prismatic_correct,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
libero_drawer,20260818,1,random,8,1,Frame-weighted (SE(3)),True,,0.019117148825898767,0.08170506756218915,False,0.19425861493234994,0.19425861493234994,0.19425861493234994,0.19425861493234994,0.19425861493234994,0.19425861493234994
libero_drawer,20260818,1,random,8,1,Phase scalar GP (SE(3)),True,,0.44746391102671623,0.0817053878199701,False,0.1957358074238692,0.1957358074238692,0.1957358074238692,0.1957358074238692,0.1957358074238692,0.1957358074238692
libero_drawer,20260818,1,random,8,1,TP-GMM additive (SE(3)),True,,0.9657016422133893,0.01310785358895842,True,0.9948920958550989,0.00877196546187649,0.012073914753484169,0.010220383105966846,0.01891371527587804,0.0054727455070513464
libero_drawer,20260818,1,random,8,1,TP-GMM SE(3),True,,2.735564098926261,0.01380713656037328,True,0.9708402937805977,0.009926592640076904,0.011208119574020712,0.0073646428545717235,0.024348285474246723,0.01126830985468974
libero_drawer,20260818,1,random,8,1,Full operator (SE(3)),True,,0.0004163989797234535,3.3435870970451292e-09,True,0.9998148267552107,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,1,random,8,1,Pdiag pointwise (SE(3)),True,,0.010618211003020406,4.767639577330602e-33,True,1.0,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,1,random,8,1,Pdiag finite (SE(3)),True,,20.24688763404265,5.760581244728841e-06,True,1.0000989714937325,1.2186117544469892e-08,1.123339314166897e-08,6.9057487628614195e-09,3.769016010210183e-08,5.392979251698836e-09
libero_drawer,20260818,3,qualified,8,0,Frame-weighted (SE(3)),True,,0.01310120290145278,0.0826215936097671,False,0.11841896369801096,0.11841896369801096,0.11841896369801096,0.11841896369801096,0.11841896369801096,0.11841896369801096
libero_drawer,20260818,3,qualified,8,0,Phase scalar GP (SE(3)),True,,0.38986312597990036,0.08262199164913725,False,0.11931945196687699,0.11931945196687699,0.11931945196687699,0.11931945196687699,0.11931945196687699,0.11931945196687699
libero_drawer,20260818,3,qualified,8,0,TP-GMM additive (SE(3)),True,,0.8392383339814842,0.013173101609442456,True,0.9954779198485808,0.004660112976310879,0.003553124549459671,0.0047064551884843375,0.008656472031026485,0.0037710389572223058
libero_drawer,20260818,3,qualified,8,0,TP-GMM SE(3),True,,2.3697815709747374,0.015577113479002914,True,0.9924740411346861,0.006425809268606338,0.005702904704240059,0.005182260506843228,0.009745957408599182,0.005752585871563465
libero_drawer,20260818,3,qualified,8,0,Full operator (SE(3)),True,,0.00041128601878881454,6.652116345101643e-08,True,0.9991740536568994,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,3,qualified,8,0,Pdiag pointwise (SE(3)),True,,0.010154485004022717,1.393070869611467e-31,True,0.9999999999999988,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,3,qualified,8,0,Pdiag finite (SE(3)),True,,21.05119095603004,0.0004317530360523411,True,1.073979738224506,7.574549314759482e-09,5.451264021091174e-09,8.83314369107207e-09,8.214817893762296e-09,5.729248201550593e-09
libero_drawer,20260818,4,qualified,8,1,Frame-weighted (SE(3)),True,,0.007258163997903466,0.08130443366512935,False,0.17541610252113043,0.17541610252113043,0.17541610252113043,0.17541610252113043,0.17541610252113043,0.17541610252113043
libero_drawer,20260818,4,qualified,8,1,Phase scalar GP (SE(3)),True,,0.23761075013317168,0.08130479750104468,False,0.17675001169883256,0.17675001169883256,0.17675001169883256,0.17675001169883256,0.17675001169883256,0.17675001169883256
libero_drawer,20260818,4,qualified,8,1,TP-GMM additive (SE(3)),True,,0.9026793912053108,0.012626456809210145,True,0.9962051307310649,0.002380873788917711,0.006915475560432243,0.020213550706142502,0.019224757150592797,0.0022198512713544893
libero_drawer,20260818,4,qualified,8,1,TP-GMM SE(3),True,,2.728247029008344,0.014467930775074335,True,0.9450399159819517,0.0027168190262834998,0.007293336240584465,0.018893638021403092,0.022096381068573923,0.00478528405985168
libero_drawer,20260818,4,qualified,8,1,Full operator (SE(3)),True,,0.00040983385406434536,2.49467641850396e-10,True,0.9999494199764326,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,4,qualified,8,1,Pdiag pointwise (SE(3)),True,,0.011074099922552705,5.754429907877911e-32,True,0.9999999999999992,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,4,qualified,8,1,Pdiag finite (SE(3)),True,,22.19888646202162,0.0009446112973437849,True,0.9082816222272199,1.7357246094652029e-10,4.607839184701495e-10,3.808764108287327e-09,4.733564039758712e-09,1.9147436783265733e-09
libero_drawer,20260818,0,random,8,0,Frame-weighted (SE(3)),True,,0.010184515034779906,0.0842534852844087,False,0.23820035212383867,0.23820035212383867,0.23820035212383867,0.23820035212383867,0.23820035212383867,0.23820035212383867
libero_drawer,20260818,0,random,8,0,Phase scalar GP (SE(3)),True,,0.26450756611302495,0.08425364161339634,False,0.2400116888897574,0.2400116888897574,0.2400116888897574,0.2400116888897574,0.2400116888897574,0.2400116888897574
libero_drawer,20260818,0,random,8,0,TP-GMM additive (SE(3)),True,,0.8303093479480594,0.012950155975202663,True,0.9966759709763295,0.006857092397096435,0.02805460663554392,0.017739092556822378,0.01868646279485331,0.0077923165165736386
libero_drawer,20260818,0,random,8,0,TP-GMM SE(3),True,,2.492996998131275,0.013020490375940698,True,0.9923176238763737,0.011453805820854961,0.027688625266513636,0.022907003904213408,0.020742193367912165,0.01599679547781152
libero_drawer,20260818,0,random,8,0,Full operator (SE(3)),True,,0.00040353182703256607,4.452353408214358e-10,True,0.999932428006568,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,0,random,8,0,Pdiag pointwise (SE(3)),True,,0.010040303925052285,1.1151776354650225e-32,True,0.9999999999999997,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,0,random,8,0,Pdiag finite (SE(3)),True,,23.55505462596193,2.2051545460638516e-06,True,1.0038669129475992,5.128200942843017e-09,1.383115951544205e-07,1.675202876771601e-07,3.227421849223783e-08,6.123810246035964e-09
libero_drawer,20260818,2,random,8,2,Frame-weighted (SE(3)),True,,0.0070928840432316065,0.08278204850562962,False,0.21767735338336286,0.21767735338336286,0.21767735338336286,0.21767735338336286,0.21767735338336286,0.21767735338336286
libero_drawer,20260818,2,random,8,2,Phase scalar GP (SE(3)),True,,0.34128795797005296,0.08278229225136645,False,0.2193326279863338,0.2193326279863338,0.2193326279863338,0.2193326279863338,0.2193326279863338,0.2193326279863338
libero_drawer,20260818,2,random,8,2,TP-GMM additive (SE(3)),True,,1.4532033011782914,0.013013562504479763,True,0.9969824400175159,0.007346176378895345,0.009905749054458257,0.018585303359431204,0.02533763252398291,0.009254287210165746
libero_drawer,20260818,2,random,8,2,TP-GMM SE(3),True,,4.192240633070469,0.014594230047287115,True,0.9896766475952362,0.007247483292857875,0.01768776366601806,0.031789000783088106,0.055728951146671424,0.01237597924463385
libero_drawer,20260818,2,random,8,2,Full operator (SE(3)),True,,0.0005762090440839529,7.77946856808319e-10,True,0.9999106803769284,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,2,random,8,2,Pdiag pointwise (SE(3)),True,,0.01903125992976129,2.0544255828643217e-31,True,0.9999999999999986,0.0,0.0,0.0,0.0,0.0
libero_drawer,20260818,2,random,8,2,Pdiag finite (SE(3)),True,,22.10675957193598,4.473354426785523e-06,True,1.0013085345901063,3.1064793253686177e-09,1.319607397165805e-08,4.342766677192335e-09,6.478713933579322e-09,2.5318718145225805e-09
libero_drawer,20260818,5,qualified,8,2,Frame-weighted (SE(3)),True,,0.010182780912145972,0.08858426103149965,False,0.2785560089724771,0.2785560089724771,0.2785560089724771,0.2785560089724771,0.2785560089724771,0.2785560089724771
