dataset,episode_index,n_frames,extraction_status,grasp_start,release_frame,window_start,window_end_exclusive,n_grasp_segments,transport_distance_m
insert_10degree,26,916,ok,296,706,685,700,1,0.18870315246501707
insert_10degree,27,884,ok,264,660,639,654,1,0.1956442588433984
insert_10degree,28,929,ok,250,750,729,744,1,0.19148405033432933
insert_10degree,29,1179,ok,294,852,831,846,1,0.19314122870745698
insert_10degree,30,950,ok,231,852,831,846,1,0.1890028360564243
insert_10degree,31,1014,ok,261,863,842,857,1,0.18364331807649156
insert_10degree,32,976,ok,304,759,738,753,1,0.18906109682158267
insert_10degree,33,773,ok,231,605,584,599,1,0.19508347002082707
insert_10degree,34,956,ok,277,820,799,814,1,0.19841478138616464
insert_10degree,35,841,ok,225,704,683,698,1,0.19285300738864847
insert_10degree,36,911,ok,275,727,706,721,1,0.20033187183051826
insert_10degree,37,900,ok,282,743,722,737,1,0.19094372209358848
insert_10degree,38,1200,ok,351,1017,996,1011,1,0.2008777615292762
insert_10degree,39,951,ok,253,706,685,700,1,0.19943690823245783
insert_10degree,40,1226,ok,397,1065,1044,1059,1,0.20321142654963392
insert_10degree,41,920,ok,298,775,754,769,1,0.20478319790465555
insert_10degree,42,874,ok,263,745,724,739,1,0.19386310195136322
insert_10degree,43,997,ok,315,851,830,845,1,0.19789719343313114
insert_10degree,44,1150,ok,389,1049,1028,1043,1,0.19874682128111834
insert_10degree,45,1154,ok,272,1016,995,1010,1,0.2054848215500593
insert_10degree,46,1335,ok,365,1193,1172,1187,1,0.198576516430352
insert_10degree,47,1022,ok,312,893,872,887,1,0.21123026834425687
insert_10degree,48,1091,ok,296,920,899,914,1,0.19133628269577288
insert_10degree,49,1744,ok,280,1614,1593,1608,1,0.1946004462487108
insert_10degree,50,1124,ok,291,990,969,984,1,0.18901195773533727
insert_10degree,51,1127,ok,348,921,900,915,1,0.19494521669083462
insert_10degree,52,1361,ok,329,1191,1170,1185,1,0.1949885169529573
insert_10degree,53,1056,ok,363,913,892,907,1,0.20452951695035151
insert_10degree,54,969,ok,270,796,775,790,1,0.19521546713308582
insert_10degree,55,907,ok,247,733,712,727,1,0.19434508779927226
insert_10degree,56,1097,ok,328,893,872,887,1,0.19490837421188464
insert_10degree,57,1098,ok,321,915,894,909,1,0.19745077565821254
insert_10degree,58,1094,ok,283,957,936,951,1,0.19593788321515734
insert_10degree,59,1131,ok,323,981,960,975,1,0.19921462129230758
insert_10degree,60,1175,ok,318,1006,985,1000,1,0.1950755074567969
insert_20degree,0,724,ok,164,628,607,622,1,0.1811539715562373
insert_20degree,1,927,ok,246,727,706,721,1,0.1589829733796945
insert_20degree,2,748,ok,242,578,557,572,1,0.17181546261030417
insert_20degree,3,773,ok,159,623,602,617,1,0.1686167519715834
insert_20degree,4,631,ok,174,474,453,468,1,0.1619702828249071
insert_20degree,5,703,ok,212,590,569,584,1,0.1467230522611945
insert_20degree,6,657,ok,188,508,487,502,1,0.16874242945454496
insert_20degree,7,838,ok,180,664,643,658,1,0.16028244239846792
insert_20degree,8,911,ok,168,789,768,783,1,0.17228459558612158
insert_20degree,9,646,ok,197,556,535,550,1,0.16746702819726444
insert_20degree,10,754,ok,214,613,592,607,1,0.16739371166973055
insert_20degree,11,808,ok,227,568,547,562,1,0.17486632939174426
insert_20degree,12,847,ok,227,678,657,672,1,0.17433994989212634
insert_20degree,13,846,ok,233,707,686,701,1,0.1681476678355123
insert_20degree,14,608,ok,164,460,439,454,1,0.181043340876165
insert_20degree,15,729,ok,225,641,620,635,1,0.16706326722195095
insert_20degree,16,580,ok,142,475,454,469,1,0.1645463792960307
